iter	Passed	Remaining
448	1100	1350
449	1102	1348
450	1104	1344
451	1106	1341
452	1110	1340
453	1111	1336
454	1113	1333
455	1114	1330
456	1116	1326
457	1118	1323
458	1121	1321
459	1123	1319
460	1125	1316
461	1126	1312
462	1128	1308
463	1132	1308
464	1134	1305
465	1136	1301
466	1139	1300
467	1140	1296
468	1145	1296
469	1147	1293
470	1148	1289
471	1150	1287
472	1152	1284
473	1157	1284
474	1159	1281
475	1161	1278
476	1162	1275
477	1164	1272
478	1170	1273
479	1172	1269
480	1173	1266
481	1175	1262
482	1177	1260
483	1179	1256
484	1183	1257
485	1185	1253
486	1187	1250
487	1188	1247
488	1190	1243
489	1197	1246
490	1200	1244
491	1201	1240
492	1203	1237
493	1206	1235
494	1208	1232
495	1209	1229
496	1212	1226
497	1221	1230
498	1222	1227
499	1226	1226
500	1228	1224
501	1239	1230
502	1243	1228
503	1248	1228
504	1250	1225
505	1251	1222
506	1258	1223
507	1260	1220
508	1262	1217
509	1265	1215
510	1267	1213
511	1269	1210
512	1272	1207
513	1275	1205
514	1283	1209
515	1285	1206
516	1289	1204
517	1290	1201
518	1292	1197
519	1294	1194
520	1298	1194
521	1301	1191
522	1304	1189
523	1306	1186
524	1314	1189
525	1317	1186
526	1319	1184
527	1325	1184
528	1327	1181
529	1330	1179
530	1338	1182
531	1339	1178
532	1341	1175
533	1344	1173
534	1345	1169
535	1350	1169
536	1352	1166
537	1353	1162
538	1355	1159
539	1357	1156
540	1361	1155
541	1363	1152
542	1365	1149
543	1367	1146
544	1371	1145
545	1374	1142
546	1376	1140
547	1382	1140
548	1385	1138
549	1386	1134
550	1388	1131
551	1389	1128
552	1391	1124
553	1394	1122
554	1395	1119
555	1397	1115
556	1398	1112
557	1401	1110
558	1409	1111
559	1411	1108
560	1412	1105
561	1415	1102
562	1416	1099
563	1419	1097
564	1422	1095
565	1423	1091
566	1425	1088
567	1427	1085
568	1428	1082
569	1431	1079
570	1434	1077
571	1436	1074
572	1437	1071
573	1439	1068
574	1441	1065
575	1442	1061
576	1445	1059
577	1447	1056
578	1449	1053
579	1450	1050
580	1452	1047
581	1454	1044
582	1456	1042
583	1460	1040
584	1461	1037
585	1463	1034
586	1465	1030
587	1466	1027
588	1469	1025
589	1472	1023
590	1473	1019
591	1475	1016
592	1476	1013
593	1477	1010
594	1479	1006
595	1480	1003
596	1482	1000
597	1483	997
598	1485	994
599	1486	991
600	1488	987
601	1489	984
602	1491	981
603	1492	978
604	1494	975
605	1496	972
606	1497	969
607	1499	966
608	1501	963
609	1502	960
610	1504	957
611	1505	954
612	1507	951
613	1510	949
614	1512	947
615	1514	944
616	1515	940
617	1517	937
618	1518	934
619	1522	932
620	1523	929
621	1524	926
622	1526	923
623	1528	920
624	1530	918
625	1532	915
626	1534	912
627	1535	909
628	1537	906
629	1538	903
630	1542	901
631	1543	898
632	1545	896
633	1548	893
634	1550	891
635	1554	889
636	1556	886
637	1557	883
638	1559	880
639	1560	877
640	1562	874
641	1564	872
642	1567	870
643	1568	867
644	1570	864
645	1571	861
646	1573	858
647	1575	855
648	1579	854
649	1581	851
650	1582	848
651	1584	845
652	1586	843
653	1589	840
654	1591	838
655	1593	835
656	1594	832
657	1597	830
658	1598	827
659	1601	825
660	1604	822
661	1605	819
662	1607	816
663	1609	814
664	1610	811
665	1612	808
666	1616	806
667	1617	804
668	1619	801
669	1620	798
670	1622	795
671	1623	792
672	1625	789
673	1626	786
674	1628	783
675	1632	782
676	1633	779
677	1636	777
678	1639	775
679	1641	772
680	1642	769
681	1644	766
682	1646	764
683	1648	761
684	1651	759
685	1653	757
686	1655	754
687	1656	751
688	1658	748
689	1659	745
690	1662	743
691	1664	740
692	1666	738
693	1667	735
694	1669	732
695	1670	729
696	1674	727
697	1676	725
698	1677	722
699	1679	719
700	1681	717
701	1682	714
702	1686	712
703	1688	709
704	1689	706
705	1690	704
706	1692	701
707	1694	698
708	1698	697
709	1700	694
710	1701	691
711	1703	689
712	1705	686
713	1706	683
714	1709	681
715	1711	678
716	1713	676
717	1714	673
718	1716	670
719	1719	668
720	1722	666
721	1723	663
722	1724	660
723	1727	658
724	1728	655
725	1731	653
726	1734	651
727	1736	648
728	1737	645
729	1738	643
730	1740	640
731	1741	637
732	1745	635
733	1746	633
734	1748	630
735	1749	627
736	1751	625
737	1752	622
738	1756	620
739	1758	617
740	1760	615
741	1761	612
742	1763	610
743	1765	607
744	1767	604
745	1770	602
746	1772	600
747	1774	597
748	1775	594
749	1776	592
750	1778	589
751	1781	587
752	1783	585
753	1784	582
754	1786	579
755	1788	577
756	1789	574
757	1792	572
758	1795	570
759	1797	567
760	1798	564
761	1799	562
762	1801	559
763	1802	556
764	1805	554
765	1809	552
766	1810	549
767	1812	547
768	1814	545
769	1815	542
770	1820	540
771	1821	537
772	1822	535
773	1824	532
774	1826	530
775	1827	527
776	1830	525
777	1833	523
778	1835	520
779	1836	518
780	1838	515
781	1840	513
782	1844	511
783	1846	508
784	1848	506
785	1849	503
786	1851	501
787	1853	498
788	1855	496
789	1858	493
790	1860	491
791	1861	488
792	1863	486
793	1865	484
794	1866	481
795	1869	479
796	1872	477
797	1874	474
798	1875	471
799	1877	469
800	1879	466
801	1880	464
802	1883	461
803	1885	459
804	1886	457
805	1887	454
806	1890	452
807	1892	449
808	1895	447
809	1898	445
810	1900	442
811	1904	440
812	1908	438
813	1911	436
814	1913	434
815	1915	431
816	1917	429
817	1918	426
818	1921	424
819	1924	422
820	1926	420
821	1927	417
822	1930	415
823	1931	412
824	1933	410
825	1937	408
826	1939	405
827	1940	403
828	1941	400
829	1943	398
830	1944	395
831	1947	393
832	1950	391
833	1952	388
834	1953	386
835	1955	383
836	1956	381
837	1959	378
838	1962	376
839	1964	374
840	1965	371
841	1967	369
842	1968	366
843	1970	364
844	1975	362
845	1976	359
846	1978	357
847	1979	354
848	1981	352
849	1983	349
850	1987	347
851	1989	345
852	1990	343
853	1991	340
854	1994	338
855	1995	335
856	1997	333
857	2001	331
858	2003	328
859	2004	326
860	2005	323
861	2007	321
862	2008	318
863	2014	317
864	2015	314
865	2017	312
866	2019	309
867	2021	307
868	2024	305
869	2026	302
870	2028	300
871	2029	297
872	2030	295
873	2032	293
874	2035	290
875	2038	288
876	2040	286
877	2041	283
878	2043	281
879	2044	278
880	2047	276
881	2050	274
882	2052	272
883	2054	269
884	2055	267
885	2057	264
886	2058	262
887	2061	260
888	2064	257
889	2065	255
890	2066	252
891	2068	250
892	2069	248
893	2072	245
894	2075	243
895	2077	241
896	2078	238
897	2081	236
898	2082	233
899	2085	231
900	2088	229
901	2089	227
902	2091	224
903	2093	222
904	2095	219
905	2096	217
906	2100	215
907	2102	212
908	2103	210
909	2105	208
910	2106	205
911	2109	203
912	2112	201
913	2114	198
914	2116	196
915	2117	194
916	2119	191
917	2121	189
918	2123	187
919	2124	184
920	2126	182
921	2128	180
922	2129	177
923	2132	175
924	2135	173
925	2137	170
926	2138	168
927	2139	166
928	2142	163
929	2143	161
930	2145	159
931	2149	156
932	2151	154
933	2152	152
934	2155	149
935	2156	147
936	2160	145
937	2163	142
938	2164	140
939	2166	138
940	2168	135
941	2169	133
942	2172	131
943	2175	129
944	2177	126
945	2178	124
946	2181	122
947	2182	119
948	2184	117
949	2189	115
950	2191	112
951	2192	110
952	2195	108
953	2196	105
954	2199	103
955	2202	101
956	2204	99
957	2205	96
958	2208	94
959	2209	92
960	2212	89
961	2215	87
962	2217	85
963	2218	82
964	2219	80
965	2222	78
966	2223	75
967	2227	73
968	2229	71
969	2230	68
970	2232	66
971	2234	64
972	2235	62
973	2238	59
974	2241	57
975	2243	55
976	2244	52
977	2246	50
978	2247	48
979	2249	45
980	2252	43
981	2254	41
982	2255	39
983	2257	36
984	2260	34
985	2261	32
986	2265	29
987	2267	27
988	2269	25
989	2270	22
990	2272	20
991	2274	18
992	2276	16
993	2279	13
994	2281	11
995	2283	9
996	2285	6
997	2287	4
998	2288	2
999	2291	0
